FIPS,"Percent of adults with a bachelor's degree or higher, 2019-23"
00000,35.0
01000,27.8
01001,28.3
01003,32.8
01005,11.5
01007,11.5
01009,15.6
01011,9.0
01013,13.8
01015,20.5
01017,14.6
01019,15.9
01021,15.2
01023,13.9
01025,15.4
01027,15.2
01029,18.2
01031,21.5
01033,20.3
01035,13.1
01037,14.9
01039,17.2
01041,16.8
01043,19.1
01045,19.3
01047,17.0
01049,13.9
01051,24.4
01053,12.5
01055,17.5
01057,15.6
01059,14.9
01061,13.3
01063,12.5
01065,16.8
01067,21.7
01069,22.8
01071,15.6
01073,35.9
01075,11.6
01077,27.1
01079,15.6
01081,41.3
01083,30.4
01085,13.9
01087,20.7
01089,45.7
01091,20.4
01093,12.8
01095,21.3
01097,25.2
01099,11.4
01101,34.3
01103,23.2
01105,16.8
01107,13.7
01109,27.3
01111,20.5
01113,16.9
01115,19.9
01117,46.2
01119,19.0
01121,16.8
01123,18.7
01125,31.4
01127,16.0
01129,16.2
01131,12.3
01133,13.4
02000,31.2
02010,
02013,18.1
02016,17.5
02020,37.7
02050,10.4
02060,25.1
02063,29.6
02066,28.4
02068,23.6
02070,19.4
02090,33.7
02100,36.9
02105,23.3
02110,40.5
02122,29.4
02130,27.0
02150,28.6
02158,5.8
02160,
02164,18.4
02170,24.3
02180,17.5
02185,14.9
02188,12.4
02195,27.5
02198,17.0
02201,
02220,34.4
02230,27.7
02231,
02232,
02240,19.6
02250,
02261,
02275,18.9
02280,
02282,14.8
02290,12.8
04000,32.6
04001,15.3
04003,27.7
04005,39.6
04007,18.8
04009,14.6
04011,20.4
04012,13.9
04013,35.9
04015,14.9
04017,17.6
04019,35.9
04021,22.2
04023,24.1
04025,29.6
04027,16.7
05000,25.1
05001,15.3
05003,12.2
05005,18.7
05007,36.6
05009,16.3
05011,15.8
05013,18.1
05015,21.1
05017,17.2
05019,25.5
05021,15.6
05023,18.3
05025,16.2
05027,20.4
05029,18.2
05031,27.8
05033,19.3
05035,17.2
05037,14.8
05039,11.1
05041,13.0
05043,23.3
05045,33.2
05047,13.2
05049,15.7
05051,26.2
05053,20.9
05055,16.5
05057,14.6
05059,15.8
05061,16.7
05063,16.9
05065,18.7
05067,13.3
05069,20.6
05071,18.1
05073,9.2
05075,14.0
05077,6.9
05079,10.9
05081,17.4
05083,15.5
05085,21.0
05087,12.8
05089,15.4
05091,16.0
05093,14.2
05095,15.6
05097,16.8
05099,11.7
05101,14.3
05103,15.1
05105,17.1
05107,14.5
05109,19.6
05111,11.9
05113,17.2
05115,24.6
05117,16.7
05119,37.4
05121,14.5
05123,12.9
05125,28.5
05127,10.8
05129,13.7
05131,24.4
05133,10.9
05135,11.9
05137,15.4
05139,18.9
05141,15.8
05143,34.6
05145,19.8
05147,15.9
05149,14.3
06000,36.5
06001,51.5
06003,42.1
06005,22.4
06007,31.7
06009,22.2
06011,14.5
06013,44.9
06015,21.0
06017,38.8
06019,23.9
06021,16.5
06023,32.1
06025,16.1
06027,31.8
06029,18.6
06031,13.9
06033,17.7
06035,13.2
06037,35.5
06039,17.1
06041,60.5
06043,30.9
06045,24.9
06047,14.8
06049,23.0
06051,34.3
06053,27.9
06055,38.5
06057,39.5
06059,43.4
06061,42.9
06063,20.5
06065,25.1
06067,33.3
06069,22.4
06071,22.9
06073,42.1
06075,60.1
06077,21.6
06079,39.2
06081,53.1
06083,35.9
06085,55.9
06087,43.6
06089,23.3
06091,24.4
06093,23.1
06095,28.4
06097,37.8
06099,19.1
06101,20.2
06103,18.8
06105,18.0
06107,15.8
06109,23.9
06111,35.7
06113,44.1
06115,17.9
08000,44.7
08001,28.0
08003,29.3
08005,45.7
08007,40.7
08009,24.1
08011,14.2
08013,63.9
08014,58.6
08015,45.4
08017,24.4
08019,56.3
08021,23.3
08023,27.8
08025,12.7
08027,35.3
08029,25.7
08031,55.6
08033,24.7
08035,60.9
08037,50.3
08039,35.2
08041,41.1
08043,21.0
08045,33.4
08047,48.4
08049,41.8
08051,59.3
08053,47.1
08055,27.1
08057,27.5
08059,50.7
08061,20.6
08063,18.4
08065,46.1
08067,47.3
08069,51.7
08071,17.3
08073,25.7
08075,18.9
08077,30.6
08079,54.5
08081,21.0
08083,30.8
08085,28.3
08087,17.6
08089,18.8
08091,54.0
08093,38.8
08095,25.7
08097,64.0
08099,18.8
08101,25.0
08103,26.6
08105,31.1
08107,52.1
08109,30.7
08111,47.2
08113,65.2
08115,27.4
08117,52.5
08119,37.8
08121,24.9
08123,32.0
08125,26.0
09000,41.9
09001,
09003,
09005,
09007,
09009,
09011,
09013,
09015,
09110,41.5
09120,41.7
09130,45.5
09140,33.8
09150,26.2
09160,39.4
09170,41.1
09180,34.6
09190,55.0
10000,35.3
10001,26.7
10003,39.2
10005,32.6
11000,63.6
11001,63.6
12000,33.2
12001,47.7
12003,15.3
12005,28.0
12007,15.0
12009,33.5
12011,35.8
12013,13.1
12015,25.3
12017,20.4
12019,28.7
12021,39.5
12023,16.3
12027,11.0
12029,8.1
12031,33.1
12033,28.9
12035,30.4
12037,25.3
12039,20.1
12041,14.5
12043,12.7
12045,24.5
12047,11.2
12049,12.3
12051,10.7
12053,20.4
12055,19.7
12057,37.2
12059,12.1
12061,33.4
12063,14.6
12065,18.8
12067,7.9
12069,26.8
12071,30.8
12073,48.6
12075,16.2
12077,15.8
12079,12.5
12081,34.3
12083,22.4
12085,36.6
12086,33.2
12087,37.8
12089,34.5
12091,34.2
12093,16.1
12095,38.4
12097,28.3
12099,39.6
12101,28.0
12103,35.8
12105,22.6
12107,14.1
12109,48.6
12111,25.4
12113,31.0
12115,39.7
12117,42.4
12119,35.1
12121,16.4
12123,15.1
12125,10.0
12127,27.2
12129,21.3
12131,34.2
12133,12.5
13000,34.2
13001,9.9
13003,9.8
13005,11.0
13007,16.9
13009,24.1
13011,17.3
13013,21.0
13015,22.9
13017,12.1
13019,12.8
13021,26.0
13023,18.3
13025,10.9
13027,13.6
13029,34.6
13031,30.8
13033,14.3
13035,13.9
13037,12.1
13039,22.4
13043,13.6
13045,22.4
13047,24.5
13049,11.4
13051,36.8
13053,27.6
13055,10.7
13057,39.5
13059,48.7
13061,22.6
13063,21.3
13065,13.0
13067,50.4
13069,13.5
13071,15.7
13073,37.8
13075,16.7
13077,34.7
13079,14.0
13081,15.5
13083,19.0
13085,35.8
13087,14.6
13089,46.7
13091,15.2
13093,13.4
13095,23.2
13097,30.8
13099,16.1
13101,14.4
13103,26.8
13105,14.9
13107,12.8
13109,15.1
13111,22.6
13113,48.1
13115,24.9
13117,56.6
13119,16.9
13121,58.0
13123,22.7
13125,14.9
13127,30.4
13129,17.7
13131,15.3
13133,36.4
13135,38.7
13137,24.2
13139,26.7
13141,8.4
13143,17.4
13145,34.7
13147,18.1
13149,11.4
13151,28.0
13153,32.3
13155,16.6
13157,27.3
13159,19.9
13161,11.5
13163,11.2
13165,7.8
13167,9.1
13169,18.4
13171,19.5
13173,19.1
13175,17.8
13177,33.5
13179,19.9
13181,16.1
13183,12.8
13185,27.1
13187,31.5
13189,17.8
13191,18.6
13193,11.0
13195,20.2
13197,13.6
13199,13.0
13201,21.9
13205,12.9
13207,28.7
13209,20.2
13211,30.1
13213,13.7
13215,29.7
13217,23.6
13219,54.9
13221,24.5
13223,27.4
13225,24.3
13227,24.9
13229,18.3
13231,21.4
13233,14.5
13235,12.0
13237,28.3
13239,9.0
13241,29.9
13243,15.0
13245,24.1
13247,29.1
13249,19.0
13251,14.7
13253,15.8
13255,17.9
13257,14.9
13259,12.3
13261,21.3
13263,15.0
13265,9.9
13267,14.6
13269,18.1
13271,10.1
13273,11.5
13275,23.6
13277,20.2
13279,19.5
13281,32.8
13283,12.8
13285,22.5
13287,11.1
13289,10.9
13291,25.7
13293,14.8
13295,20.1
13297,24.9
13299,15.0
13301,12.7
13303,17.5
13305,14.0
13307,11.3
13309,12.2
13311,24.3
13313,19.3
13315,14.1
13317,15.7
13319,12.7
13321,11.3
15000,35.5
15001,30.9
15003,37.7
15005,32.6
15007,30.2
15009,30.1
16000,31.2
16001,43.9
16003,21.3
16005,30.2
16007,20.3
16009,19.8
16011,20.8
16013,45.5
16015,29.9
16017,28.9
16019,32.2
16021,19.6
16023,13.8
16025,27.4
16027,22.8
16029,15.5
16031,20.9
16033,17.3
16035,19.4
16037,25.2
16039,21.2
16041,21.5
16043,21.8
16045,22.3
16047,17.1
16049,22.0
16051,27.2
16053,13.4
16055,28.8
16057,44.9
16059,22.9
16061,20.0
16063,11.6
16065,40.3
16067,16.8
16069,26.8
16071,26.2
16073,13.7
16075,19.6
16077,16.7
16079,11.5
16081,48.3
16083,23.0
16085,35.4
16087,19.0
17000,37.2
17001,27.0
17003,12.6
17005,21.2
17007,23.2
17009,15.1
17011,21.4
17013,18.4
17015,18.2
17017,20.0
17019,46.6
17021,16.5
17023,24.3
17025,15.6
17027,24.4
17029,27.1
17031,41.9
17033,20.6
17035,18.6
17037,32.7
17039,21.4
17041,20.2
17043,51.4
17045,20.1
17047,13.9
17049,26.0
17051,16.6
17053,19.4
17055,17.1
17057,17.6
17059,15.3
17061,16.3
17063,24.2
17065,18.5
17067,24.2
17069,12.2
17071,19.2
17073,24.3
17075,16.7
17077,35.1
17079,20.6
17081,18.4
17083,20.5
17085,28.8
17087,18.8
17089,37.5
17091,20.4
17093,36.4
17095,20.3
17097,47.0
17099,18.7
17101,14.6
17103,19.4
17105,18.5
17107,19.9
17109,31.8
17111,35.2
17113,46.9
17115,24.1
17117,18.8
17119,30.8
17121,17.3
17123,18.7
17125,17.1
17127,16.3
17129,26.5
17131,18.9
17133,38.2
17135,18.2
17137,23.3
17139,18.8
17141,24.0
17143,34.5
17145,12.3
17147,31.9
17149,18.8
17151,16.8
17153,11.9
17155,24.6
17157,14.2
17159,18.9
17161,24.1
17163,30.7
17165,20.2
17167,35.1
17169,18.9
17171,22.2
17173,17.6
17175,19.3
17177,21.7
17179,28.4
17181,20.9
17183,16.2
17185,18.7
17187,22.0
17189,24.4
17191,16.2
17193,14.9
17195,20.1
17197,36.5
17199,27.5
17201,24.6
17203,36.1
18000,28.8
18001,15.2
18003,31.1
18005,35.4
18007,18.8
18009,13.5
18011,50.5
18013,26.0
18015,15.5
18017,15.6
18019,25.5
18021,17.0
18023,16.7
18025,11.1
18027,15.1
18029,26.0
18031,20.1
18033,20.1
18035,25.7
18037,24.3
18039,19.7
18041,16.4
18043,31.3
18045,13.7
18047,19.5
