FIPS,POP_ESTIMATE_2023
00000,"334,914,895"
01000,"5,108,468"
01001,"60,342"
01003,"253,507"
01005,"24,585"
01007,"21,868"
01009,"59,816"
01011,"9,897"
01013,"18,382"
01015,"116,429"
01017,"34,079"
01019,"25,666"
01021,"46,431"
01023,"12,252"
01025,"22,337"
01027,"14,111"
01029,"15,639"
01031,"55,643"
01033,"58,361"
01035,"11,174"
01037,"10,268"
01039,"37,952"
01041,"13,101"
01043,"92,016"
01045,"49,871"
01047,"36,165"
01049,"72,569"
01051,"90,441"
01053,"36,558"
01055,"103,241"
01057,"15,967"
01059,"31,802"
01061,"26,988"
01063,"7,341"
01065,"14,888"
01067,"17,899"
01069,"108,462"
01071,"53,467"
01073,"662,895"
01075,"13,661"
01077,"96,814"
01079,"33,502"
01081,"183,215"
01083,"114,654"
01085,"9,717"
01087,"18,370"
01089,"412,600"
01091,"18,684"
01093,"29,244"
01095,"100,756"
01097,"411,640"
01099,"19,229"
01101,"224,980"
01103,"125,133"
01105,"7,738"
01107,"18,688"
01109,"33,137"
01111,"22,786"
01113,"58,744"
01115,"95,552"
01117,"233,000"
01119,"11,727"
01121,"81,132"
01123,"40,677"
01125,"237,373"
01127,"64,728"
01129,"15,022"
01131,"9,944"
01133,"23,611"
02000,"733,406"
02013,"3,461"
02016,"5,160"
02020,"286,075"
02050,"18,224"
02060,844
02063,"6,769"
02066,"2,674"
02068,"1,584"
02070,"4,607"
02090,"94,840"
02100,"2,070"
02105,"2,262"
02110,"31,555"
02122,"61,223"
02130,"13,738"
02150,"12,565"
02158,"8,001"
02164,"1,331"
02170,"115,239"
02180,"9,763"
02185,"10,603"
02188,"7,361"
02195,"3,427"
02198,"5,696"
02220,"8,282"
02230,"1,095"
02240,"7,077"
02275,"2,064"
02282,687
02290,"5,129"
04000,"7,431,344"
04001,"65,036"
04003,"124,640"
04005,"144,472"
04007,"54,003"
04009,"39,525"
04011,"9,369"
04012,"16,710"
04013,"4,585,871"
04015,"223,682"
04017,"109,175"
04019,"1,063,162"
04021,"484,239"
04023,"49,158"
04025,"249,081"
04027,"213,221"
05000,"3,067,732"
05001,"16,307"
05003,"18,262"
05005,"42,875"
05007,"311,013"
05009,"38,530"
05011,"10,104"
05013,"4,641"
05015,"28,814"
05017,"9,538"
05019,"21,274"
05021,"14,201"
05023,"25,445"
05025,"7,378"
05027,"22,150"
05029,"21,077"
05031,"113,993"
05033,"61,891"
05035,"47,139"
05037,"16,420"
05039,"6,185"
05041,"10,479"
05043,"16,945"
05045,"129,951"
05047,"17,468"
05049,"12,421"
05051,"99,784"
05053,"18,383"
05055,"46,743"
05057,"19,343"
05059,"33,258"
05061,"12,533"
05063,"38,320"
05065,"14,169"
05067,"16,784"
05069,"63,661"
05071,"26,129"
05073,"6,095"
05075,"16,318"
05077,"8,201"
05079,"12,898"
05081,"11,805"
05083,"21,400"
05085,"75,944"
05087,"17,775"
05089,"17,514"
05091,"42,415"
05093,"38,663"
05095,"6,512"
05097,"8,620"
05099,"8,120"
05101,"7,071"
05103,"21,793"
05105,"10,184"
05107,"14,961"
05109,"10,208"
05111,"22,397"
05113,"19,436"
05115,"64,593"
05117,"8,036"
05119,"400,009"
05121,"18,907"
05123,"22,101"
05125,"129,574"
05127,"9,851"
05129,"7,806"
05131,"129,098"
05133,"15,632"
05135,"17,968"
05137,"12,671"
05139,"37,397"
05141,"16,142"
05143,"261,549"
05145,"78,452"
05147,"5,964"
05149,"20,044"
06000,"38,965,193"
06001,"1,622,188"
06003,"1,141"
06005,"41,811"
06007,"207,172"
06009,"46,565"
06011,"22,037"
06013,"1,155,025"
06015,"26,589"
06017,"192,215"
06019,"1,017,162"
06021,"28,129"
06023,"133,985"
06025,"179,057"
06027,"18,527"
06029,"913,820"
06031,"152,682"
06033,"67,878"
06035,"28,861"
06037,"9,663,345"
06039,"162,858"
06041,"254,407"
06043,"16,919"
06045,"89,108"
06047,"291,920"
06049,"8,500"
06051,"13,066"
06053,"430,723"
06055,"133,216"
06057,"102,037"
06059,"3,135,755"
06061,"423,561"
06063,"19,131"
06065,"2,492,442"
06067,"1,584,288"
06069,"68,175"
06071,"2,195,611"
06073,"3,269,973"
06075,"808,988"
06077,"800,965"
06079,"281,639"
06081,"726,353"
06083,"441,257"
06085,"1,877,592"
06087,"261,547"
06089,"180,366"
06091,"3,200"
06093,"42,905"
06095,"449,218"
06097,"481,812"
06099,"551,430"
06101,"97,948"
06103,"64,896"
06105,"15,670"
06107,"479,468"
06109,"54,204"
06111,"829,590"
06113,"220,544"
06115,"85,722"
08000,"5,877,610"
08001,"533,365"
08003,"16,655"
08005,"656,061"
08007,"14,189"
08009,"3,344"
08011,"5,681"
08013,"326,831"
08014,"76,860"
08015,"20,617"
08017,"1,727"
