FIPS,PCTPOVALL_2023
00000,12.5
01000,15.7
01001,11.7
01003,10.0
01005,25.5
01007,19.4
01009,12.8
01011,33.6
01013,23.6
01015,20.1
01017,17.1
01019,15.6
01021,15.3
01023,24.8
01025,19.0
01027,16.9
01029,15.8
01031,16.5
01033,15.4
01035,26.5
01037,18.2
01039,16.7
01041,19.5
01043,15.5
01045,16.6
01047,31.4
01049,21.6
01051,12.5
01053,21.3
01055,19.6
01057,16.2
01059,22.5
01061,19.2
01063,31.0
01065,23.0
01067,16.4
01069,16.5
01071,16.0
01073,16.0
01075,16.4
01077,13.6
01079,14.2
01081,17.9
01083,8.6
01085,29.4
01087,28.8
01089,10.5
01091,23.5
01093,19.0
01095,16.5
01097,16.3
01099,19.1
01101,18.3
01103,12.0
01105,33.8
01107,21.5
01109,23.8
01111,15.9
01113,18.9
01115,10.8
01117,8.4
01119,33.5
01121,17.0
01123,15.1
01125,19.2
01127,17.5
01129,18.7
01131,32.7
01133,16.6
02000,10.5
02013,18.0
02016,10.0
02020,8.9
02050,29.3
02060,11.7
02063,8.7
02066,14.2
02068,7.8
02070,23.4
02090,7.6
02100,10.0
02105,17.2
02110,9.1
02122,11.5
02130,9.3
02150,8.5
02158,30.8
02164,20.4
02170,9.7
02180,20.7
02185,12.0
02188,19.1
02195,8.4
02198,15.7
02220,9.3
02230,5.9
02240,12.2
02275,11.7
02282,15.3
02290,21.9
04000,12.6
04001,29.6
04003,16.3
04005,17.8
04007,17.7
04009,17.3
04011,9.7
04012,18.7
04013,11.1
04015,16.8
04017,24.7
04019,14.0
04021,11.8
04023,20.1
04025,12.8
04027,15.9
05000,15.4
05001,16.8
05003,18.4
05005,16.0
05007,7.8
05009,14.9
05011,23.2
05013,14.3
05015,14.8
05017,29.7
05019,18.9
05021,17.5
05023,13.5
05025,15.7
05027,23.3
05029,17.1
05031,16.1
05033,13.3
05035,20.6
05037,19.1
05039,19.6
05041,25.0
05043,20.6
05045,12.9
05047,19.0
05049,17.5
05051,18.9
05053,11.1
05055,16.2
05057,16.6
05059,16.9
05061,17.8
05063,13.5
05065,20.3
05067,24.6
05069,24.3
05071,17.1
05073,22.8
05075,18.3
05077,38.7
05079,26.2
05081,17.7
05083,16.6
05085,9.6
05087,14.8
05089,17.4
05091,21.5
05093,24.9
05095,26.3
05097,18.8
05099,23.2
05101,18.8
05103,18.8
05105,14.1
05107,34.2
05109,18.2
05111,19.1
05113,18.8
05115,13.5
05117,15.4
05119,15.7
05121,18.5
05123,34.3
05125,9.3
05127,19.5
05129,20.2
05131,12.8
05133,18.7
05135,19.7
05137,17.7
05139,19.0
05141,16.5
05143,13.5
05145,15.7
05147,24.4
05149,16.5
06000,12.0
06001,9.5
06003,15.6
06005,11.7
06007,19.9
06009,12.2
06011,12.3
06013,8.3
06015,13.8
06017,7.0
06019,17.7
06021,13.5
06023,16.7
06025,17.3
06027,11.8
06029,19.0
06031,17.5
06033,17.6
06035,17.1
06037,13.7
06039,18.0
06041,8.7
06043,17.3
06045,13.9
06047,18.6
06049,20.1
06051,7.8
06053,14.0
06055,8.9
06057,10.9
06059,9.2
06061,6.5
06063,12.7
06065,11.3
06067,11.9
06069,9.1
06071,13.2
06073,10.1
06075,11.9
06077,12.6
06079,12.8
06081,7.3
06083,14.9
06085,7.6
06087,12.6
06089,13.2
06091,12.6
06093,17.1
06095,10.3
06097,9.1
06099,12.6
06101,15.3
06103,15.0
06105,20.8
06107,17.5
06109,10.5
06111,9.8
06113,15.3
06115,15.4
08000,9.4
08001,9.7
08003,21.7
08005,10.1
08007,11.2
08009,20.2
08011,28.6
08013,11.0
08014,5.1
08015,9.4
08017,13.3
08019,7.7
08021,18.1
08023,22.6
08025,37.5
08027,11.8
08029,12.9
08031,10.5
08033,13.5
08035,3.7
08037,6.6
08039,5.8
08041,7.3
08043,18.4
08045,9.1
08047,7.2
08049,8.2
08051,10.7
08053,5.3
08055,18.3
08057,13.3
08059,7.4
08061,13.6
08063,12.3
08065,11.4
08067,11.5
08069,10.2
08071,17.1
08073,14.8
08075,14.0
08077,11.9
08079,9.7
08081,10.8
08083,14.0
08085,10.7
08087,12.5
08089,20.1
08091,7.4
08093,8.1
08095,12.1
08097,6.4
08099,20.1
08101,13.5
08103,10.8
08105,17.8
08107,5.6
08109,20.6
08111,12.3
08113,7.9
08115,14.7
08117,7.3
08119,8.3
08121,14.2
08123,9.1
08125,12.7
09000,10.2
09110,9.8
09120,11.3
09130,7.1
09140,11.4
09150,7.6
09160,8.4
09170,12.5
09180,12.4
09190,8.0
10000,10.8
10001,11.7
10003,10.9
10005,10.1
11000,15.2
11001,15.2
12000,12.4
12001,18.5
12003,12.5
12005,11.8
12007,15.4
12009,10.3
12011,12.7
12013,22.9
12015,9.1
12017,15.7
12019,7.9
12021,10.5
12023,17.0
12027,18.8
12029,23.7
12031,14.5
12033,14.0
12035,8.9
12037,16.6
12039,21.5
12041,13.5
12043,16.9
12045,14.9
12047,21.9
12049,20.5
12051,22.1
12053,12.1
12055,18.6
12057,13.2
12059,18.2
12061,11.3
12063,20.6
12065,23.5
12067,18.9
12069,10.7
12071,12.1
12073,17.6
12075,18.3
12077,20.8
12079,19.8
12081,10.4
12083,15.0
12085,13.1
12086,14.1
12087,10.0
12089,9.5
12091,10.1
12093,17.0
12095,12.4
12097,10.9
12099,10.8
12101,10.5
12103,11.3
12105,13.0
12107,21.1
12109,6.1
12111,10.4
12113,8.1
12115,9.5
12117,9.2
12119,9.7
12121,17.3
12123,19.7
12125,19.4
12127,11.9
12129,10.4
12131,10.9
12133,16.8
13000,13.7
13001,21.1
13003,22.4
13005,22.9
13007,26.2
13009,21.4
13011,12.2
13013,11.2
13015,9.7
13017,24.4
13019,18.8
13021,22.1
13023,18.2
13025,17.8
13027,22.8
13029,8.2
13031,23.7
13033,21.2
13035,15.5
13037,35.5
13039,11.6
13043,21.5
13045,14.3
13047,10.7
13049,26.2
13051,15.2
13053,16.3
13055,20.7
13057,6.6
13059,24.1
13061,26.4
13063,17.3
13065,23.3
13067,8.8
13069,22.5
13071,23.4
13073,6.8
13075,19.9
13077,9.9
13079,15.8
13081,26.0
13083,14.1
13085,8.0
13087,22.3
13089,13.3
13091,23.5
13093,22.5
13095,26.4
13097,11.9
13099,25.5
13101,21.6
13103,8.5
13105,18.0
13107,26.1
13109,23.7
13111,13.9
13113,5.8
13115,17.0
13117,5.1
13119,16.9
13121,13.0
