FIPS,Unemployment_rate_2023,Median_Household_Income_2022,Med_HH_Income_Percent_of_State_Total_2022
00000,3.6,"74,755",
01000,2.5,"59,703",100.0
01001,2.2,"70,148",117.5
01003,2.3,"71,704",120.1
01005,4.4,"41,151",68.9
01007,2.5,"54,309",91.0
01009,2.1,"60,553",101.4
01011,2.4,"35,798",60.0
01013,2.9,"41,852",70.1
01015,2.8,"52,772",88.4
01017,2.4,"45,563",76.3
01019,2.4,"52,613",88.1
01021,2.2,"61,823",103.6
01023,4.0,"44,458",74.5
01025,5.0,"44,906",75.2
01027,2.4,"49,599",83.1
01029,2.3,"49,248",82.5
01031,2.5,"62,429",104.6
01033,2.9,"54,593",91.4
01035,3.5,"36,106",60.5
01037,2.6,"49,485",82.9
01039,2.7,"46,958",78.7
01041,2.7,"49,161",82.3
01043,2.0,"61,774",103.5
01045,2.5,"50,567",84.7
01047,5.4,"35,258",59.1
01049,2.3,"50,037",83.8
01051,2.1,"71,463",119.7
01053,3.1,"47,792",80.0
01055,2.8,"55,487",92.9
01057,2.9,"49,205",82.4
01059,2.6,"49,611",83.1
01061,2.4,"51,585",86.4
01063,4.8,"35,449",59.4
01065,3.3,"44,702",74.9
01067,2.6,"56,702",95.0
01069,2.6,"56,842",95.2
01071,2.5,"51,965",87.0
01073,2.5,"61,996",103.8
01075,2.8,"51,523",86.3
01077,2.5,"59,023",98.9
01079,2.3,"55,516",93.0
01081,2.3,"59,637",99.9
01083,2.1,"83,159",139.3
01085,4.6,"42,268",70.8
01087,3.2,"36,601",61.3
01089,2.0,"80,426",134.7
01091,3.3,"45,587",76.4
01093,2.9,"47,742",80.0
01095,2.1,"53,388",89.4
01097,3.1,"54,315",91.0
01099,4.3,"47,498",79.6
01101,2.8,"56,862",95.2
01103,2.0,"62,260",104.3
01105,5.0,"33,585",56.3
01107,3.0,"45,440",76.1
01109,2.7,"45,144",75.6
01111,2.4,"49,433",82.8
01113,2.8,"45,074",75.5
01115,2.1,"70,361",117.9
01117,1.8,"98,263",164.6
01119,3.7,"35,152",58.9
01121,2.8,"55,186",92.4
01123,2.5,"55,270",92.6
01125,2.3,"60,875",102.0
01127,2.6,"51,065",85.5
01129,2.6,"53,785",90.1
01131,8.0,"33,682",56.4
01133,2.7,"51,149",85.7
02000,4.2,"88,072",100.0
02013,2.1,"85,852",97.5
02016,3.0,"112,218",127.4
02020,3.4,"99,162",112.6
02050,9.7,"59,011",67.0
02060,3.7,"96,382",109.4
02063,4.7,"91,356",103.7
02066,7.6,"63,837",72.5
02068,6.0,"90,897",103.2
02070,6.4,"69,716",79.2
02090,3.8,"84,166",95.6
02100,6.6,"70,610",80.2
02105,5.6,"64,181",72.9
02110,3.0,"102,097",115.9
02122,4.7,"76,254",86.6
02130,3.7,"82,648",93.8
02150,4.4,"83,222",94.5
02158,15.1,"41,824",47.5
02164,5.9,"63,038",71.6
02170,4.8,"86,313",98.0
02180,7.7,"64,480",73.2
02185,4.9,"95,795",108.8
02188,9.6,"69,234",78.6
02195,5.1,"76,641",87.0
02198,6.7,"58,381",66.3
02201,,,
02220,3.0,"90,345",102.6
02230,5.8,"73,603",83.6
02232,,,
02240,5.2,"74,732",84.9
02261,,,
02275,4.9,"67,761",76.9
02280,,,
02282,6.0,"78,552",89.2
02290,9.0,"47,798",54.3
04000,3.9,"74,355",100.0
04001,7.9,"40,632",54.6
04003,4.5,"55,254",74.3
04005,4.2,"64,016",86.1
04007,4.3,"51,928",69.8
04009,3.7,"63,797",85.8
04011,2.9,"76,338",102.7
04012,4.8,"53,925",72.5
04013,3.4,"83,668",112.5
04015,4.5,"54,842",73.8
04017,5.7,"49,948",67.2
04019,3.8,"64,007",86.1
04021,4.1,"76,232",102.5
04023,7.6,"53,467",71.9
04025,3.6,"64,187",86.3
04027,13.2,"54,209",72.9
05000,3.3,"55,505",100.0
05001,2.7,"52,145",93.9
05003,5.6,"47,253",85.1
05005,3.6,"48,573",87.5
05007,2.4,"86,374",155.6
05009,3.1,"53,025",95.5
05011,4.6,"44,982",81.0
05013,2.9,"52,535",94.6
05015,2.9,"50,433",90.9
05017,5.8,"38,217",68.9
05019,4.7,"50,519",91.0
05021,4.1,"46,855",84.4
05023,3.9,"52,662",94.9
05025,3.5,"55,533",100.1
05027,4.3,"47,278",85.2
05029,3.8,"52,405",94.4
05031,2.7,"60,580",109.1
05033,3.4,"54,741",98.6
05035,4.2,"49,644",89.4
05037,3.4,"48,299",87.0
05039,3.9,"44,476",80.1
05041,4.6,"41,251",74.3
05043,4.2,"48,635",87.6
05045,2.9,"63,429",114.3
05047,3.2,"48,248",86.9
05049,3.8,"42,588",76.7
05051,3.7,"53,239",95.9
05053,2.9,"63,512",114.4
05055,3.3,"54,475",98.1
05057,3.4,"46,423",83.6
05059,3.5,"50,654",91.3
05061,3.5,"46,449",83.7
05063,3.4,"57,611",103.8
05065,5.1,"43,920",79.1
05067,5.1,"43,579",78.5
05069,4.6,"45,894",82.7
05071,4.4,"46,660",84.1
05073,4.9,"42,437",76.5
05075,3.4,"47,312",85.2
05077,5.2,"35,213",63.4
05079,4.0,"48,311",87.0
05081,3.5,"48,883",88.1
05083,4.0,"48,510",87.4
05085,2.7,"66,160",119.2
05087,2.6,"51,233",92.3
05089,4.1,"49,313",88.8
05091,3.6,"48,652",87.7
05093,4.9,"45,168",81.4
05095,3.9,"33,090",59.6
05097,4.9,"46,069",83.0
05099,3.7,"44,649",80.4
05101,3.4,"47,996",86.5
05103,3.9,"49,275",88.8
05105,3.6,"56,640",102.0
05107,6.5,"36,098",65.0
05109,3.5,"41,348",74.5
05111,3.3,"47,372",85.3
05113,3.6,"45,289",81.6
05115,3.9,"57,881",104.3
05117,3.1,"51,017",91.9
05119,3.2,"57,057",102.8
05121,3.5,"45,638",82.2
05123,5.0,"38,062",68.6
05125,2.7,"70,330",126.7
05127,3.0,"42,599",76.7
05129,4.3,"38,070",68.6
05131,3.4,"52,679",94.9
05133,3.8,"49,384",89.0
05135,3.9,"45,740",82.4
05137,4.1,"41,063",74.0
05139,4.6,"50,258",90.5
05141,4.0,"47,150",84.9
05143,2.3,"62,100",111.9
05145,3.5,"56,866",102.5
05147,3.6,"41,225",74.3
05149,3.7,"50,275",90.6
06000,4.8,"91,517",100.0
06001,4.1,"121,190",132.4
06003,6.5,"71,646",78.3
06005,5.1,"74,356",81.2
06007,5.2,"63,353",69.2
06009,4.2,"73,175",80.0
06011,13.0,"72,963",79.7
06013,4.1,"119,667",130.8
06015,5.7,"57,297",62.6
06017,4.0,"104,859",114.6
06019,7.5,"68,693",75.1
06021,6.3,"63,247",69.1
06023,4.6,"57,660",63.0
06025,17.3,"55,523",60.7
06027,3.8,"64,332",70.3
06029,8.3,"65,981",72.1
06031,8.2,"63,683",69.6
06033,5.8,"51,848",56.7
06035,5.2,"60,308",65.9
06037,5.0,"82,455",90.1
06039,7.5,"71,273",77.9
06041,3.3,"135,960",148.6
06043,5.1,"66,513",72.7
06045,4.7,"63,621",69.5
06047,9.0,"65,253",71.3
06049,6.3,"51,166",55.9
06051,3.8,"79,105",86.4
06053,7.0,"91,450",99.9
06055,3.5,"98,580",107.7
06057,3.9,"80,069",87.5
06059,3.6,"106,047",115.9
06061,3.7,"106,114",116.0
06063,7.3,"66,725",72.9
06065,4.8,"86,350",94.4
06067,4.4,"83,985",91.8
06069,6.0,"106,560",116.4
06071,4.7,"78,779",86.1
06073,3.9,"98,365",107.5
06075,3.3,"135,366",147.9
06077,6.2,"84,738",92.6
06079,3.5,"88,578",96.8
06081,3.0,"143,795",157.1
06083,4.1,"89,334",97.6
06085,3.5,"150,502",164.5
06087,5.7,"99,256",108.5
06089,5.1,"66,312",72.5
06091,4.7,"63,939",69.9
06093,6.4,"51,593",56.4
06095,4.7,"92,711",101.3
06097,3.6,"96,312",105.2
06099,6.4,"75,249",82.2
06101,7.8,"66,071",72.2
06103,5.8,"58,900",64.4
06105,5.7,"49,485",54.1
06107,10.0,"64,313",70.3
06109,5.0,"70,108",76.6
06111,4.3,"101,981",111.4
06113,4.7,"82,359",90.0
06115,6.7,"63,626",69.5
08000,3.2,"89,096",100.0
08001,3.4,"89,849",100.8
08003,3.7,"53,942",60.5
08005,3.1,"93,525",105.0
08007,3.2,"66,025",74.1
08009,2.0,"47,147",52.9
08011,3.0,"42,958",48.2
08013,2.8,"96,584",108.4
08014,3.0,"114,746",128.8
08015,3.0,"75,151",84.3
08017,2.1,"62,891",70.6
08019,2.8,"90,350",101.4
08021,3.3,"49,141",55.2
08023,4.4,"36,970",41.5
08025,4.2,"49,785",55.9
08027,3.2,"67,766",76.1
08029,3.6,"53,910",60.5
08031,3.3,"87,619",98.3
08033,2.9,"56,695",63.6
08035,2.9,"140,768",158.0
08037,2.6,"105,813",118.8
08039,2.6,"120,394",135.1
08041,3.3,"82,248",92.3
08043,4.9,"57,275",64.3
08045,2.9,"86,566",97.2
08047,2.7,"89,805",100.8
08049,2.7,"88,059",98.8
08051,2.6,"88,855",99.7
08053,2.9,"70,675",79.3
08055,5.8,"47,968",53.8
08057,2.2,"62,439",70.1
08059,2.9,"102,413",114.9
08061,2.2,"55,573",62.4
08063,1.8,"56,720",63.7
08065,2.5,"71,326",80.1
08067,3.0,"79,358",89.1
08069,2.8,"88,338",99.1
08071,5.0,"49,097",55.1
08073,2.8,"54,345",61.0
08075,2.7,"58,976",66.2
08077,3.5,"69,578",78.1
08079,2.5,"69,794",78.3
08081,3.2,"69,088",77.5
08083,4.0,"58,345",65.5
08085,3.3,"65,736",73.8
08087,3.0,"65,599",73.6
08089,4.1,"46,607",52.3
08091,3.2,"90,837",102.0
08093,2.8,"88,020",98.8
08095,2.2,"68,571",77.0
08097,3.3,"111,291",124.9
08099,2.8,"48,832",54.8
08101,4.4,"58,314",65.5
08103,3.3,"71,630",80.4
08105,4.0,"56,877",63.8
08107,2.5,"104,407",117.2
08109,3.5,"45,048",50.6
08111,2.6,"62,732",70.4
08113,3.2,"94,387",105.9
08115,3.1,"46,980",52.7
08117,2.3,"96,984",108.9
08119,3.0,"81,466",91.4
08121,2.3,"61,492",69.0
08123,3.3,"90,770",101.9
08125,2.0,"56,075",62.9
09000,3.8,"88,182",100.0
09001,3.9,,
09003,3.8,,
09005,3.4,,
09007,3.2,,
09009,3.9,,
09011,3.6,,
09013,3.3,,
09015,3.9,,
09110,,"84,551",95.9
09120,,"81,042",91.9
09130,,"99,557",112.9
09140,,"81,783",92.7
09150,,"81,711",92.7
09160,,"87,206",98.9
09170,,"84,615",96.0
09180,,"80,159",90.9
09190,,"122,080",138.4
10000,4.0,"81,933",100.0
10001,4.5,"71,866",87.7
10003,3.9,"85,427",104.3
10005,3.8,"81,188",99.1
11000,4.9,"99,897",100.0
11001,4.9,"99,897",100.0
12000,2.9,"69,287",100.0
12001,3.1,"58,783",84.8
12003,2.9,"67,375",97.2
12005,2.8,"65,521",94.6
12007,3.1,"57,664",83.2
12009,3.0,"74,899",108.1
12011,2.9,"70,834",102.2
12013,3.3,"46,766",67.5
12015,3.5,"65,040",93.9
12017,4.5,"52,534",75.8
12019,2.9,"84,364",121.8
12021,2.9,"81,821",118.1
12023,3.4,"54,060",78.0
12027,3.6,"47,097",68.0
12029,3.6,"40,587",58.6
12031,3.1,"70,203",101.3
12033,3.1,"61,634",89.0
12035,3.7,"73,336",105.8
12037,2.9,"52,180",75.3
12039,3.9,"45,628",65.9
12041,3.3,"58,178",84.0
12043,3.8,"50,559",73.0
12045,2.7,"55,909",80.7
12047,4.3,"45,484",65.6
12049,4.1,"48,572",70.1
12051,4.8,"55,308",79.8
12053,3.8,"60,582",87.4
12055,4.3,"51,954",75.0
12057,2.9,"74,091",106.9
12059,3.2,"50,118",72.3
12061,3.5,"69,462",100.3
12063,3.4,"50,625",73.1
12065,3.2,"56,900",82.1
12067,3.3,"50,775",73.3
12069,3.1,"67,637",97.6
12071,3.2,"71,607",103.3
12073,3.1,"61,560",88.8
12075,3.5,"55,147",79.6
12077,3.3,"49,514",71.5
12079,3.3,"46,141",66.6
12081,3.0,"72,176",104.2
12083,3.6,"54,517",78.7
12085,2.9,"80,678",116.4
12086,1.8,"66,952",96.6
12087,1.9,"79,459",114.7
12089,2.8,"90,808",131.1
12091,2.6,"76,663",110.6
12093,3.2,"50,176",72.4
12095,2.8,"72,129",104.1
12097,3.4,"63,782",92.1
12099,3.0,"76,713",110.7
12101,3.3,"65,933",95.2
12103,2.8,"66,427",95.9
12105,3.7,"61,941",89.4
12107,4.0,"46,459",67.1
12109,2.7,"103,757",149.7
12111,3.5,"64,038",92.4
12113,2.8,"82,537",119.1
12115,3.0,"78,309",113.0
12117,2.8,"80,296",115.9
12119,4.2,"77,851",112.4
12121,3.4,"51,295",74.0
12123,3.4,"48,482",70.0
12125,3.0,"60,749",87.7
12127,3.3,"64,601",93.2
12129,2.7,"63,482",91.6
12131,2.8,"78,814",113.8
12133,3.3,"49,233",71.1
13000,3.2,"72,742",100.0
13001,3.4,"51,217",70.4
13003,3.1,"46,060",63.3
13005,2.9,"46,044",63.3
13007,3.8,"50,129",68.9
13009,4.2,"49,883",68.6
13011,2.2,"66,928",92.0
13013,2.8,"77,583",106.7
13015,3.1,"80,017",110.0
13017,4.3,"41,141",56.6
13019,3.7,"48,725",67.0
13021,4.0,"48,539",66.7
13023,4.2,"56,070",77.1
13025,3.5,"50,370",69.2
13027,3.4,"43,353",59.6
13029,2.6,"93,057",127.9
13031,3.4,"49,471",68.0
13033,5.5,"49,431",68.0
13035,2.9,"62,231",85.6
13037,2.8,"39,681",54.6
13039,3.0,"67,628",93.0
13043,2.5,"44,493",61.2
13045,3.3,"69,924",96.1
13047,2.7,"66,918",92.0
13049,3.1,"48,147",66.2
13051,2.9,"64,029",88.0
13053,4.5,"57,507",79.1
13055,3.7,"50,714",69.7
13057,2.6,"99,932",137.4
13059,3.3,"49,832",68.5
13061,7.8,"37,961",52.2
13063,4.1,"57,625",79.2
13065,2.8,"45,595",62.7
13067,2.8,"96,798",133.1
13069,3.6,"48,792",67.1
13071,2.8,"49,214",67.7
13073,3.0,"94,224",129.5
13075,3.2,"44,476",61.1
13077,2.9,"87,618",120.5
13079,3.2,"60,295",82.9
13081,3.7,"43,884",60.3
13083,2.6,"59,708",82.1
13085,2.6,"84,551",116.2
13087,3.4,"46,455",63.9
13089,3.3,"76,736",105.5
13091,3.8,"43,783",60.2
