ALAND,AWATER,GEOID,INTPTLAT,INTPTLON,NAME,NAMELSAD,STATEFP,ag_2015,ag_2016,ag_2017,ag_2018,ag_2019,ag_2020,ag_2021,ag_2022,ag_2023,ag_2024,dev_2023,forest_2023,grass_2023,land_2015,land_2016,land_2017,land_2018,land_2019,land_2020,land_2021,land_2022,land_2023,land_2024
1539602123,25706961,01001,+32.5322367,-086.6464395,Autauga,Autauga County,01,332024611.7483154,329894496.0623753,327609435.1997667,325763118.35338044,324054968.0964401,322737561.58253914,320997021.9808189,319072950.39031893,317096727.57557684,315886459.2904264,141597748.73199484,701319624.937181,99047075.2337079,1565313358.8865469,1565313358.8865469,1565313358.8865469,1565313358.8865469,1565313358.8865469,1565313358.8865469,1565313358.8865469,1565313358.8865469,1565313358.8865469,1565313358.8865469
4117546676,1133055836,01003,+30.6592183,-087.7460666,Baldwin,Baldwin County,01,683676695.9873122,679442124.7761916,676483289.8244927,673047903.1923393,668935828.6869323,664949275.3119323,660302475.8858459,653356873.4360455,645883877.6244,642546868.9208478,508557200.6735113,1351306460.4168994,180020615.41662166,5250307480.754622,5250307480.754622,5250307480.754622,5250307480.754622,5250307480.754622,5250307480.754622,5250307480.754622,5250307480.754622,5250307480.754622,5250307480.754622
2292144655,50538698,01005,+31.8702531,-085.4051035,Barbour,Barbour County,01,403907658.8980041,401810903.29226124,400433169.95622516,398853859.4929214,396981689.267729,395808214.66859543,393110515.35690105,388835471.04370475,388160225.0888483,386016830.91115624,132150798.42376228,1177617195.395928,169379667.6001788,2342682599.2265244,2342682599.2265244,2342682599.2265244,2342682599.2265244,2342682599.2265244,2342682599.2265244,2342682599.2265244,2342682599.2265244,2342682599.2265244,2342682599.2265244
1612167481,9602089,01007,+33.0158929,-087.1271475,Bibb,Bibb County,01,123289833.8591186,122616287.75725691,121770576.98802511,121292202.49850114,120843470.72113968,120721133.61892639,120159100.69083728,119786938.84271598,119555688.11720854,119465851.59878981,108653664.57410024,1063057604.5223563,85540210.4613001,1621754764.7529225,1621754764.7529225,1621754764.7529225,1621754764.7529225,1621754764.7529225,1621754764.7529225,1621754764.7529225,1621754764.7529225,1621754764.7529225,1621754764.7529225
1670103911,15015423,01009,+33.9773575,-086.5664400,Blount,Blount County,01,565808835.9396662,566071810.1310567,566019021.7062143,565269264.1734469,565010818.4776387,565240818.9589586,565566438.1021823,564887636.5116435,563875182.9139787,563832524.6135625,176245136.3840406,859635500.8828627,19005934.113769773,1685114725.3265603,1685114725.3265603,1685114725.3265603,1685114725.3265603,1685114725.3265603,1685114725.3265603,1685114725.3265603,1685114725.3265603,1685114725.3265603,1685114725.3265603
1613059160,6054988,01011,+32.1017589,-085.7172613,Bullock,Bullock County,01,320954475.05246055,320425871.45632446,319445199.6797794,318599417.40466744,317772698.83370465,317569786.4692786,316770300.03668433,315193425.2476786,314165787.7459222,313055873.27253836,69823645.75967681,795405229.8813694,88837581.75808083,1619088783.406451,1619088783.406451,1619088783.406451,1619088783.406451,1619088783.406451,1619088783.406451,1619088783.406451,1619088783.406451,1619088783.406451,1619088783.406451
2012002530,2701198,01013,+31.7516670,-086.6819689,Butler,Butler County,01,210517460.19106087,209207743.31234017,208864480.97811094,207668255.26489908,207475980.11352158,207104398.2643452,206588056.33627886,204948046.9019622,205199486.60076854,205302699.01577553,118174086.14520861,1151274892.6330142,143018455.06138864,2014688381.7898684,2014688381.7898684,2014688381.7898684,2014688381.7898684,2014688381.7898684,2014688381.7898684,2014688381.7898684,2014688381.7898684,2014688381.7898684,2014688381.7898684
1569189622,16627597,01015,+33.7717061,-085.8225133,Calhoun,Calhoun County,01,293608037.9468886,293671132.3188168,294333143.3446225,294655172.7482991,294366703.1135062,294456311.4143212,294567193.91179824,294381833.80118626,294691731.6976158,294672269.76360196,280661415.87721217,885253143.0506649,47974893.31913966,1585820653.06268,1585820653.06268,1585820653.06268,1585820653.06268,1585820653.06268,1585820653.06268,1585820653.06268,1585820653.06268,1585820653.06268,1585820653.06268
1545085607,16971701,01017,+32.9155039,-085.3940321,Chambers,Chambers County,01,212614763.18471515,212507852.89891762,213117846.54278252,213313811.1073005,213138064.38746837,213466869.14668253,213961390.96392485,213710407.48394126,214721686.8434941,214342131.7131041,122286754.81048274,870622025.9852602,133486844.42135416,1562060103.725088,1562060103.725088,1562060103.725088,1562060103.725088,1562060103.725088,1562060103.725088,1562060103.725088,1562060103.725088,1562060103.725088,1562060103.725088
1433623321,120308339,01019,+34.0695153,-085.6542417,Cherokee,Cherokee County,01,402447773.418712,402281578.72542155,401912912.9399256,401904297.71947575,401615048.133576,402092185.11156523,402555744.933237,401621299.5913135,401526152.50603974,402830125.63727194,122556846.71143872,772551674.5535642,57335192.26592181,1553935841.8439198,1553935841.8439198,1553935841.8439198,1553935841.8439198,1553935841.8439198,1553935841.8439198,1553935841.8439198,1553935841.8439198,1553935841.8439198,1553935841.8439198
