FIPS,total_obs,obs_on_ag,n_cells,year
01001,670,45.49,25,2015
01003,24708,758.78,435,2015
01005,6125,824.25,73,2015
01007,3448,70.43,103,2015
01009,834,61.4,37,2015
01011,6521,2155.5599999999995,41,2015
01013,796,152.82999999999998,30,2015
01015,1956,18.16,44,2015
01017,672,70.42999999999999,43,2015
01019,379,47.23,47,2015
01021,465,113.5,54,2015
01023,140,0.78,13,2015
01025,545,3.28,44,2015
01027,693,120.35,63,2015
01029,865,2.5700000000000003,36,2015
01031,272,96.11,37,2015
01033,6853,2230.87,88,2015
01035,149,1.93,27,2015
01037,703,2.48,19,2015
01039,2625,322.97,147,2015
01041,53,4.619999999999999,12,2015
01043,1118,18.619999999999997,25,2015
01045,536,41.55,21,2015
01047,398,41.36,38,2015
01049,1148,171.51999999999998,96,2015
01051,2197,506.12,68,2015
01053,437,43.17,53,2015
01055,270,10.21,32,2015
01057,37,11.59,5,2015
01059,120,44.66,13,2015
01061,542,312.75000000000006,47,2015
01063,1400,11.4,52,2015
01065,4534,797.14,94,2015
01067,820,171.02,60,2015
01069,6263,155.68,81,2015
01071,2283,929.76,180,2015
01073,27706,116.54,284,2015
01075,101,2.22,11,2015
01077,7994,1577.96,99,2015
01079,2255,214.9,80,2015
01081,6689,416.99,179,2015
01083,7792,2675.6,104,2015
01085,344,78.24,17,2015
01087,5861,681.78,120,2015
01089,21856,2381.6099999999997,220,2015
01091,5101,4384.15,25,2015
01093,192,29.92,22,2015
01095,7451,353.62,136,2015
01097,39072,160.26,342,2015
01099,547,33.29,57,2015
01101,11779,2421.44,203,2015
01103,6359,2102.19,92,2015
01105,1414,149.96,88,2015
01107,181,54.11,26,2015
01109,301,112.35,56,2015
01111,108,18.75,18,2015
01113,904,186.99,52,2015
01115,1007,121.95,63,2015
01117,10010,3358.07,152,2015
01119,204,32.6,42,2015
01121,162,12.12,23,2015
01123,223,21.56,37,2015
01125,1410,126.6,110,2015
01127,182,0.08,8,2015
01129,70,19.83,11,2015
01131,279,8.16,7,2015
01133,5309,31.76,44,2015
04001,15267,330.39,581,2015
04003,251123,1035.06,2656,2015
04005,113077,258.2,2638,2015
04007,15322,4.6499999999999995,480,2015
04009,10410,787.11,399,2015
04011,2354,186.93,118,2015
04012,21001,2996.69,358,2015
04013,272832,13301.88,3575,2015
04015,42019,196.47,1018,2015
04017,14009,287.58,392,2015
04019,400730,383.92,4579,2015
04021,44168,9524.04,1071,2015
04023,177422,2150.11,1557,2015
04025,108641,6786.78,1698,2015
04027,14272,375.53,414,2015
05001,1502,286.4,63,2015
05003,348,0.1,21,2015
05005,2302,418.44,62,2015
05007,24128,7363.06,675,2015
05009,2092,653.4399999999999,33,2015
05011,85,15.38,17,2015
05013,42,0.15,11,2015
05015,1783,196.55,101,2015
05017,452,125.57,21,2015
05019,1335,359.28,51,2015
05021,52,6.9,5,2015
05023,1762,271.24,82,2015
05025,94,20.229999999999997,13,2015
05027,1334,4.35,28,2015
05029,1095,265.84000000000003,84,2015
05031,1675,386.92,142,2015
05033,2755,1276.21,66,2015
05035,2013,97.19,41,2015
05037,202,22.85,10,2015
05039,37,0.8999999999999999,6,2015
05041,927,103.2,27,2015
05043,281,0.0,18,2015
05045,6157,1804.99,169,2015
05047,2392,286.7,90,2015
05049,538,382.28,11,2015
05051,3720,364.06,212,2015
05053,116,0.11,10,2015
05055,306,48.87,18,2015
05057,1550,207.14,61,2015
05059,697,105.06,71,2015
05061,677,90.53,38,2015
05063,228,54.510000000000005,18,2015
05065,95,53.82,8,2015
05067,44,18.99,9,2015
05069,5940,452.6,98,2015
05071,2400,766.4,177,2015
05073,185,59.23,30,2015
05075,53,21.84,17,2015
05077,255,78.58,17,2015
05079,26,3.36,8,2015
05081,148,9.84,30,2015
05083,1772,42.65,107,2015
05085,1277,591.4699999999999,73,2015
05087,992,68.63,47,2015
05089,1433,663.4499999999999,52,2015
05091,733,89.92,56,2015
05093,520,256.27,75,2015
05095,387,49.38,67,2015
05097,1057,28.130000000000003,86,2015
05099,95,2.58,26,2015
05101,1657,230.99,125,2015
05103,140,0.4599999999999999,25,2015
05105,536,121.14,93,2015
05107,307,36.8,26,2015
05109,96,3.56,35,2015
05111,792,437.62,37,2015
05113,757,48.26,94,2015
05115,6624,630.2,115,2015
05117,934,221.81,43,2015
05119,26012,2753.4,504,2015
05121,47,12.27,26,2015
05123,127,46.08,26,2015
05125,9123,198.49,255,2015
05127,7851,1120.17,110,2015
05129,361,77.92,29,2015
05131,7726,655.99,83,2015
05133,422,7.449999999999999,19,2015
05135,190,52.28,20,2015
05137,703,57.61,68,2015
05139,364,0.18,18,2015
05141,16769,646.8100000000001,79,2015
05143,10879,2409.83,270,2015
05145,5224,3186.8999999999996,94,2015
05147,47,23.98,17,2015
05149,1621,365.97,93,2015
06001,202588,5166.88,2591,2015
06003,13570,226.67,464,2015
06005,16870,47.07,345,2015
06007,41247,10688.09,970,2015
06009,10462,32.75,338,2015
06011,32336,9986.81,583,2015
06013,133172,5789.27,2818,2015
06015,24899,2058.87,540,2015
06017,24363,0.12,1012,2015
06019,45423,1705.05,1160,2015
06021,23647,2320.75,397,2015
06023,169296,13353.81,2401,2015
06025,76128,29348.24,1293,2015
06027,53606,4410.71,1624,2015
06029,90462,6967.12,2046,2015
06031,17547,7169.9,175,2015
06033,31987,1052.83,563,2015
06035,9127,873.41,809,2015
06037,615524,3577.06,10753,2015
06039,14233,1380.22,560,2015
06041,226416,325.48,3985,2015
06043,16827,0.0,1218,2015
06045,96465,4770.72,1260,2015
