chunk,total_obs,obs_on_ag
1,0,0
2,0,0
3,0,0
4,27,0
5,29,0
6,2,0
7,267371,6
8,338022,10502
9,465824,28532
10,670765,108936
11,1184405,149022
12,550788,44552
13,78196,14838
14,0,0
15,0,0
16,0,0
17,54,0
18,2911,0
19,989924,608
20,7000616,248456
21,1351969,174657
22,460693,35196
23,407747,23216
24,1496861,189668
25,2516416,121164
26,294627,30201
27,0,0
28,0,0
29,0,0
30,792,0
31,2792528,18962
32,921665,22928
33,487981,20180
34,508385,13625
35,38659,2459
36,116877,9804
37,203477,17977
38,334698,16977
39,51860,1021
40,0,0
41,0,0
42,0,0
43,16072,17
44,5018093,33792
45,309583,15181
46,186120,10770
47,23598,1200
48,15790,1868
49,146845,1889
50,326525,33604
51,227789,7925
52,23093,241
53,0,0
54,0,0
55,0,0
56,914,10
57,1268074,47332
58,366509,960
59,21865,177
60,6859,89
61,24787,123
62,449503,31114
63,78271,1773
64,109953,3437
65,24166,954
66,0,0
67,0,0
68,0,0
69,6663,611
70,126093,12434
71,179355,29
72,146109,917
73,22503,440
74,53931,3542
75,87481,8975
76,69160,4381
77,294824,29488
78,40841,1
79,0,0
80,0,0
81,0,0
82,1052288,19181
83,1152490,68822
84,407495,3788
85,94241,2178
86,211895,21200
87,657546,21088
88,150823,7644
89,243011,7692
90,132366,1845
91,2980,78
92,0,0
93,0,0
94,0,0
95,2434868,1396
96,187880,3391
97,21805,651
98,32659,2471
99,69519,8069
100,38705,1002
101,135841,543
102,124375,4355
103,31100,583
104,4550,116
105,0,0
106,0,0
107,0,0
108,65407,163
109,167519,2621
110,27724,102
111,261813,12300
112,247617,11341
113,29768,2859
114,48588,1163
115,62201,5535
116,39943,263
117,4090,80
118,0,0
119,0,0
120,0,0
121,164686,12913
122,198762,3474
123,831046,102901
124,165987,4746
125,1741789,11598
126,400170,6079
127,29622,238
128,17308,1354
129,12115,114
130,3061,100
131,0,0
132,0,0
133,166524,2
134,159253,11108
135,64374,430
136,28510,177
137,199753,257
138,1042286,6014
139,231510,2838
140,86712,36
141,32861,146
142,58953,489
143,13080,130
144,0,0
145,0,0
146,44890,0
147,48155,568
148,114362,3972
149,62084,1283
150,109715,7636
151,43033,2676
152,49234,887
153,23055,81
154,5221,49
155,51101,798
156,14860,3216
157,78569,21
158,221024,572
159,250846,1873
160,143145,653
161,67796,2008
162,26484,564
163,50778,1604
164,54266,803
165,58822,2822
166,51013,277
167,20219,478
168,90002,2802
169,5622,414
170,1259985,82390
171,868584,79999
172,1489286,60419
173,616065,8927
174,555062,4083
175,309056,3330
176,233593,5830
177,85162,2054
178,94303,3814
179,53028,7135
180,41328,5432
181,104989,11558
182,3096,988
183,26,0
184,120564,2940
185,1476419,142316
186,345900,67166
187,629291,26876
188,168547,17838
189,93180,11921
190,407045,54327
191,403415,24586
192,144393,23271
193,124112,15833
194,181669,27064
195,10400,819
196,33,0
197,1042,0
198,1022486,48690
199,200105,33598
