year,zoom,method,total_obs,obs_on_ag,pct_obs_on_ag,pct_ag_area,disparity
2014,12,point ~30 m (v1-style),40013892,3556958,8.8893,24.0672,2.7074
2015,12,point ~30 m (v1-style),49207967,5327871,10.8273,24.032,2.2196
2016,12,point ~30 m (v1-style),57379061,5695625,9.9263,24.0135,2.4192
2017,12,point ~30 m (v1-style),64062823,5585229,8.7184,23.9934,2.752
2018,12,point ~30 m (v1-style),77770241,6463492,8.311,23.9713,2.8843
2019,12,point ~30 m (v1-style),86533214,6988460,8.076,23.9402,2.9643
2020,12,point ~30 m (v1-style),113224640,9463185,8.3579,23.9049,2.8602
2021,12,point ~30 m (v1-style),125012019,9942964,7.9536,23.8766,3.002
2022,12,point ~30 m (v1-style),133171191,10306776,7.7395,23.8576,3.0826
2023,12,point ~30 m (v1-style),150410082,11001898,7.3146,23.80,3.2538
