year,disparity,pct_obs_on_ag,pct_ag_area,total_obs,obs_on_ag,method_zoom
2015,2.2196,10.8273,24.032,49207967,5327871,z12 ~19m exact-point
2016,2.4192,9.9263,24.0135,57379061,5695625,z12 ~19m exact-point
2017,2.752,8.7184,23.9934,64062823,5585229,z12 ~19m exact-point
2018,2.8843,8.311,23.9713,77770241,6463492,z12 ~19m exact-point
2019,2.9643,8.076,23.9402,86533214,6988460,z12 ~19m exact-point
2020,2.8602,8.3579,23.9049,113224640,9463185,z12 ~19m exact-point
2021,3.002,7.9536,23.8766,125012019,9942964,z12 ~19m exact-point
2022,3.0826,7.7395,23.8576,133171191,10306776,z12 ~19m exact-point
2023,3.2538,7.3146,23.80,150410082,11001898,z12 ~19m exact-point
2024,3.1725,7.4785,23.7253,152375422,11395420,z12 ~19m exact-point
