FIPS,COUNTYNAME,STATE,TIME_ZONE,CWA,FE_AREA,LATITUDE,LONGITUDE,PERCENTAGE_GBIF_OBS_ON_AG_LAND,PERCENTAGE_OF_AG_LAND_WITHIN_1KM_GBIF_OBS,PERCENT_AGRICULTURE,GEOMEAN_SCORE,TOTAL_GBIF_OBS_COUNT_2023,GBIF_AG_OBS_COUNT_2023,GBIF_OBS_DENSITY_KM2,OBSERVATIONAL_DISPARITY,PERCENT_DEVELOPED,PERCENT_FOREST,AREA_KM2,AG_AREA_KM2,COVERED_AG_AREA_KM2,POPULATION_DENSITY_2023_KM2,POPULATION_ESTIMATE_2023,MEDIAN_HOUSEHOLD_INCOME_2022,MEDIAN_HOUSEHOLD_INCOME_PERCENT_OF_STATE_TOTAL_2022,PERCENT_ADULTS_BACHELORS_DEGREE_2023,PERCENT_POVERTY_2023,UNEMPLOYMENT_RATE_2023
6019,Fresno,CA,P,HNX,cc,36.7584,-119.6503,0.02866,0.22900,0.33800,0.13042,78186,2241,5.01677,11.79344,0.06430,0.14993,15584.9585,5267.7160,1206.3259,65.27,1017162,68700,0.751,0.239,0.177,0.075
30015,Chouteau,MT,M,TFX,nc,47.8806,-110.4352,0.00665,0.04328,0.48712,0.05195,4661,31,0.45026,73.25113,0.01931,0.02798,10352.3795,5042.8511,218.2755,0.56,5847,51100,0.753,0.226,0.150,0.032
31183,Wheeler,NE,C,LBF,nc,41.9148,-98.5282,0.00000,0.06218,0.20028,0.00000,1143,0,0.76668,0.00000,0.01855,0.00146,1490.8429,298.5860,18.5660,0.52,775,56000,0.801,0.296,0.128,0.017
46095,Mellette,SD,C,UNR,sc,43.5811,-100.76,0.00000,0.05008,0.10816,0.00000,776,0,0.22881,0.00000,0.01462,0.00828,3391.4650,366.8209,18.3716,0.55,1851,44700,0.633,0.163,0.260,0.032
46137,Ziebach,SD,M,UNR,wc,44.9806,-101.666,0.00000,0.02125,0.11823,0.00000,182,0,0.03565,0.00000,0.01200,0.00210,5104.7765,603.5377,12.8233,0.45,2322,40000,0.567,0.141,0.462,0.044
48295,Lipscomb,TX,C,AMA,pa,36.2777,-100.2731,0.00000,0.06569,0.11415,0.00000,433,0,0.17920,0.00000,0.05409,0.00115,2414.3711,275.6005,18.1036,1.20,2906,70200,0.972,0.254,0.126,0.032
51790,City of Staunton,VA,E,LWX,ww,38.1587,-79.0616,0.66350,0.99993,0.25344,0.55194,9293,6166,182.70715,0.38197,0.57934,0.15488,50.8637,12.8909,12.8900,509.50,25915,61900,0.721,0.351,0.113,0.026
4007,Gila,AZ,m,PSRFGZ,ec,33.7997,-110.8117,0.00000,0.76629,0.00023,0.00000,52939,0,4.26127,0.00000,0.01249,0.34878,12423.3842,2.8574,2.1896,4.35,54003,51900,0.698,0.188,0.177,0.043
6075,San Francisco,CA,P,MTR,nn,37.7558,-122.4424,0.00000,1.00000,0.00001,0.00000,457700,0,3720.76135,0.00000,0.94748,0.00831,123.0124,0.0012,0.0012,6576.47,808988,135000,1.479,0.601,0.119,0.033
6043,Mariposa,CA,P,HNX,cc,37.5815,-119.9055,0.00000,0.94595,0.00001,0.00000,49472,0,13.05916,0.00000,0.02456,0.30574,3788.3266,0.0379,0.0358,4.47,16919,66500,0.727,0.309,0.173,0.051
6017,El Dorado,CA,P,STOREV,nn,38.7785,-120.5247,0.00000,0.94220,0.00007,0.00000,93136,0,20.11589,0.00000,0.07403,0.47078,4629.9484,0.3241,0.3054,41.52,192215,105000,1.146,0.388,0.070,0.040
6057,Nevada,CA,P,STOREV,nn,39.3014,-120.7683,0.00000,0.92870,0.00099,0.00000,99566,0,39.45202,0.00000,0.08586,0.68160,2523.7115,2.4985,2.3203,40.43,102037,80100,0.875,0.395,0.109,0.039
8111,San Juan,CO,M,GJT,sw,37.764,-107.6761,0.00000,1.00000,0.00001,0.00000,3858,0,3.83508,0.00000,0.00932,0.40694,1005.9577,0.0101,0.0101,0.80,802,62700,0.704,0.472,0.123,0.026
8119,Teller,CO,M,PUB,cc,38.8822,-105.1618,0.00000,0.99762,0.00026,0.00000,31208,0,21.55516,0.00000,0.03813,0.56961,1447.8166,0.3764,0.3755,17.00,24617,81500,0.914,0.378,0.083,0.030
8065,Lake,CO,M,PUB,cc,39.202,-106.3451,0.00000,0.86667,0.00001,0.00000,6907,0,6.92818,0.00000,0.02117,0.43472,996.9378,0.0100,0.0086,7.39,7365,71300,0.801,0.461,0.114,0.025
8117,Summit,CO,M,BOU,cc,39.6342,-106.1163,0.00000,0.64829,0.00334,0.00000,31791,0,19.82253,0.00000,0.03704,0.49654,1603.7984,5.3567,3.4727,19.00,30465,97000,1.089,0.525,0.073,0.023
8055,Huerfano,CO,M,PUB,se,37.6847,-104.9606,0.00000,0.54549,0.00367,0.00000,7169,0,1.73757,0.00000,0.01877,0.23849,4126.1545,15.1430,8.2603,1.71,7055,48000,0.538,0.271,0.183,0.058
8019,Clear Creek,CO,M,BOU,cc,39.6891,-105.6444,0.00000,0.00000,0.00000,0.00000,18854,0,18.36771,0.00000,0.02159,0.61390,1026.4717,0.0000,0.0000,8.91,9147,90400,1.014,0.563,0.077,0.028
8047,Gilpin,CO,M,BOU,cc,39.8576,-105.5226,0.00000,0.00000,0.00000,0.00000,9347,0,24.02750,0.00000,0.04320,0.76414,389.0125,0.0000,0.0000,15.23,5926,89800,1.008,0.484,0.072,0.027
12037,Franklin,FL,E,TAE,bb,29.89835,-84.73895,0.00000,0.93366,0.00026,0.00000,42,0,3.73391,0.00000,0.00310,0.00989,1425.9943,0.3708,0.3462,8.83,12594,52200,0.753,0.253,0.166,0.029
13101,Echols,GA,E,JAX,se,30.7101,-82.8939,0.00000,0.37516,0.03588,0.00000,695,0,0.63768,0.00000,0.05232,0.27503,1089.8876,39.1052,14.6706,3.40,3709,47200,0.649,0.144,0.216,0.028
16079,Shoshone,ID,P,OTX,pa,47.3516,-115.891,0.00000,0.82323,0.00031,0.00000,5483,0,0.80331,0.00000,0.01913,0.83998,6825.5186,2.1159,1.7419,2.05,14026,47000,0.647,0.115,0.157,0.052
21119,Knott,KY,E,JKL,se,37.354,-82.954,0.00000,0.24728,0.00417,0.00000,324,0,0.35447,0.00000,0.05359,0.84792,914.3499,3.8128,0.9428,14.94,13659,38500,0.649,0.178,0.261,0.067
21193,Perry,KY,E,JKL,se,37.2443,-83.2215,0.00000,0.18215,0.00882,0.00000,412,0,0.46411,0.00000,0.08430,0.78967,887.4802,7.8276,1.4258,30.57,27133,43900,0.742,0.142,0.297,0.056
25025,Suffolk,MA,E,BOX,ee,42.3308,-71.0818,0.00000,1.00000,0.00004,0.00000,254724,0,1456.94715,0.00000,0.88860,0.02066,174.8339,0.0070,0.0070,4395.17,768425,84500,0.894,0.499,0.151,0.032
26039,Crawford,MI,E,APX,nn,44.6836,-84.6103,0.00000,0.77686,0.00134,0.00000,40011,0,27.42106,0.00000,0.06723,0.59282,1459.1486,1.9553,1.5190,9.28,13538,57600,0.861,0.202,0.140,0.059
26083,Keweenaw,MI,E,MQT,wu,47.6104,-88.4287,0.00000,0.52158,0.00052,0.00000,22472,0,15.42514,0.00000,0.01400,0.62648,1456.8621,0.7576,0.3951,1.49,2172,57100,0.853,0.436,0.120,0.059
30069,Petroleum,MT,M,GGW,ne,47.1175,-108.2501,0.00000,0.07689,0.06857,0.00000,1354,0,0.31232,0.00000,0.01115,0.03903,4335.3021,297.2717,22.8583,0.13,554,49000,0.721,0.271,0.130,0.033
30075,Powder River,MT,M,BYZ,se,45.395,-105.6301,0.00000,0.06463,0.03903,0.00000,1372,0,0.16063,0.00000,0.01165,0.07201,8541.6241,333.3796,21.5475,0.20,1743,54100,0.797,0.252,0.117,0.025
31071,Garfield,NE,C,LBF,nc,41.9143,-98.9914,0.00000,0.25900,0.06143,0.00000,713,0,0.48191,0.00000,0.01731,0.00617,1479.5303,90.8875,23.5395,1.19,1763,51500,0.738,0.327,0.109,0.020
31031,Cherry,NE,MC,LBF,nc,42.5449,-101.1186,0.00000,0.18549,0.01504,0.00000,24785,0,1.59241,0.00000,0.00791,0.00677,15564.5051,234.0902,43.4217,0.35,5492,58000,0.831,0.242,0.110,0.019
31009,Blaine,NE,C,LBF,nc,41.9128,-99.9769,0.00000,0.16463,0.02155,0.00000,401,0,0.21675,0.00000,0.01092,0.00104,1850.0560,39.8687,6.5634,0.24,436,54900,0.787,0.256,0.163,0.036
31117,McPherson,NE,C,LBF,wc,41.5681,-101.0605,0.00000,0.07515,0.02465,0.00000,836,0,0.37536,0.00000,0.00857,0.00060,2227.2041,54.9006,4.1256,0.17,383,52800,0.756,0.244,0.120,0.021
31005,Arthur,NE,M,LBF,wc,41.5689,-101.6959,0.00000,0.07355,0.01921,0.00000,401,0,0.21532,0.00000,0.00782,0.00002,1860.3632,35.7376,2.6284,0.22,412,57000,0.817,0.327,0.133,0.028
31091,Hooker,NE,M,LBF,wc,41.9159,-101.1353,0.00000,0.04598,0.00562,0.00000,638,0,0.34143,0.00000,0.00940,0.00451,1868.6176,10.5016,0.4829,0.36,679,53500,0.767,0.207,0.096,0.025
31075,Grant,NE,M,LBF,wc,41.915,-101.7405,0.00000,0.03514,0.00127,0.00000,1261,0,0.62162,0.00000,0.00941,0.00010,2028.5634,2.5763,0.0905,0.28,565,63500,0.909,0.294,0.103,0.015
31171,Thomas,NE,C,LBF,nc,41.9135,-100.5559,0.00000,0.03066,0.01060,0.00000,2007,0,1.08580,0.00000,0.01159,0.01376,1848.4004,19.5930,0.6007,0.37,677,58800,0.842,0.269,0.130,0.034
34039,Union,NJ,E,OKX,ne,40.66,-74.3086,0.00000,1.00000,0.00070,0.00000,55963,0,204.90469,0.00000,0.89440,0.04303,273.1173,0.1912,0.1912,2097.00,572726,96500,1.001,0.386,0.089,0.047
34017,Hudson,NJ,E,OKX,ne,40.7368,-74.0784,0.00000,1.00000,0.00030,0.00000,52559,0,365.94790,0.00000,0.74694,0.00251,143.6233,0.0431,0.0431,4911.96,705472,82400,0.855,0.479,0.152,0.044
35019,Guadalupe,NM,M,ABQ,ec,34.8633,-104.7907,0.00000,0.26240,0.00067,0.00000,9330,0,1.18832,0.00000,0.00883,0.00626,7851.5859,5.2606,1.3804,0.55,4292,43900,0.733,0.155,0.249,0.040
35021,Harding,NM,M,ABQ,ne,35.858,-103.8199,0.00000,0.24111,0.00141,0.00000,1620,0,0.29419,0.00000,0.01163,0.02182,5506.0446,7.7635,1.8718,0.11,624,45200,0.756,0.303,0.151,0.037
32021,Mineral,NV,P,REV,ww,38.5388,-118.4352,0.00000,0.17700,0.00203,0.00000,5485,0,0.55542,0.00000,0.00416,0.12488,9875.7841,20.0478,3.5485,0.46,4528,55700,0.770,0.115,0.173,0.068
32011,Eureka,NV,P,LKN,nc,39.9839,-116.2686,0.00000,0.11838,0.01638,0.00000,1598,0,0.14760,0.00000,0.00665,0.12226,10826.2041,177.3332,20.9933,0.18,1917,80300,1.110,0.181,0.115,0.037
32015,Lander,NV,P,LKN,nc,39.9338,-117.0379,0.00000,0.07377,0.01062,0.00000,2596,0,0.18163,0.00000,0.00664,0.09603,14294.1029,151.8034,11.1989,0.40,5769,90200,1.247,0.166,0.115,0.036
36081,Queens,NY,E,OKX,se,40.7104,-73.8191,0.00000,1.00000,0.00008,0.00000,217107,0,728.02819,0.00000,0.87298,0.01274,298.2129,0.0239,0.0239,7552.31,2252196,80200,1.009,0.353,0.138,0.046
40045,Ellis,OK,C,OUN,nw,36.2184,-99.7546,0.00000,0.13772,0.09497,0.00000,1086,0,0.34045,0.00000,0.05821,0.03794,3190.3615,302.9886,41.7265,1.14,3648,54100,0.907,0.200,0.140,0.023
48385,Real,TX,C,EWX,sc,29.8318,-99.8221,0.00000,0.97196,0.00011,0.00000,7491,0,4.13151,0.00000,0.01554,0.38447,1813.0422,0.1994,0.1938,1.57,2854,49500,0.684,0.191,0.157,0.051
48031,Blanco,TX,C,EWX,sc,30.2664,-98.3998,0.00000,0.88577,0.00184,0.00000,31957,0,17.29439,0.00000,0.03782,0.16681,1847.8191,3.4000,3.0116,7.06,13048,82200,1.138,0.343,0.085,0.028
48019,Bandera,TX,C,EWX,sc,29.7472,-99.2462,0.00000,0.87069,0.00261,0.00000,32900,0,15.92716,0.00000,0.04301,0.39811,2065.6732,5.3914,4.6942,10.96,22637,69300,0.959,0.255,0.129,0.035
48137,Edwards,TX,C,EWX,sc,29.9826,-100.3047,0.00000,0.78495,0.00012,0.00000,12461,0,2.26955,0.00000,0.00651,0.08466,5490.7142,0.6589,0.5172,0.25,1393,50800,0.702,0.259,0.197,0.025
48465,Val Verde,TX,C,EWX,sc,29.893,-101.1517,0.00000,0.69771,0.00028,0.00000,44768,0,5.34736,0.00000,0.01287,0.00927,8372.0166,2.3442,1.6355,5.70,47720,52600,0.728,0.213,0.202,0.055
48105,Crockett,TX,C,SJT,wc,30.723,-101.4121,0.00000,0.62062,0.00018,0.00000,4386,0,0.60325,0.00000,0.01169,0.00622,7271.2172,1.3088,0.8123,0.39,2858,71900,0.994,0.110,0.153,0.033
48235,Irion,TX,C,SJT,wc,31.3039,-100.9824,0.00000,0.50744,0.00461,0.00000,3568,0,1.30993,0.00000,0.01864,0.00317,2723.4851,12.5553,6.3710,0.57,1549,77800,1.076,0.221,0.089,0.033
48103,Crane,TX,C,MAF,ww,31.4285,-102.5155,0.00000,0.30000,0.00000,0.00000,408,0,0.20053,0.00000,0.04354,0.00000,2034.6226,0.0000,0.0000,2.25,4574,67900,0.939,0.143,0.117,0.045
48435,Sutton,TX,C,SJT,wc,30.4983,-100.5382,0.00000,0.29975,0.00039,0.00000,4022,0,1.06764,0.00000,0.01450,0.00806,3766.8532,1.4691,0.4404,0.86,3221,68800,0.952,0.155,0.134,0.058
48475,Ward,TX,C,MAF,ww,31.5095,-103.1024,0.00000,0.27481,0.00080,0.00000,1605,0,0.74166,0.00000,0.07176,0.00000,2164.4462,1.7316,0.4758,5.07,10966,60800,0.841,0.107,0.141,0.030
48431,Sterling,TX,C,SJT,wc,31.8279,-101.05,0.00000,0.27100,0.00659,0.00000,415,0,0.17351,0.00000,0.01484,0.00504,2391.7402,15.7616,4.2714,0.58,1397,75900,1.050,0.245,0.115,0.040
48135,Ector,TX,C,MAF,ww,31.8692,-102.5428,0.00000,0.24247,0.00056,0.00000,2666,0,1.14163,0.00000,0.14187,0.00002,2335.4096,1.3078,0.3171,70.43,164494,64900,0.897,0.166,0.117,0.033
48413,Schleicher,TX,C,SJT,wc,30.8975,-100.5385,0.00000,0.16427,0.02485,0.00000,1628,0,0.47957,0.00000,0.01266,0.00297,3394.7277,84.3590,13.8577,0.70,2391,54200,0.749,0.242,0.160,0.035
48429,Stephens,TX,C,FWD,nc,32.7359,-98.8362,0.00000,0.14232,0.03245,0.00000,1459,0,0.61143,0.00000,0.03443,0.14907,2386.7800,77.4510,11.0228,3.91,9343,50700,0.702,0.182,0.184,0.039
48461,Upton,TX,C,MAF,ww,31.3688,-102.0431,0.00000,0.12823,0.01160,0.00000,395,0,0.12269,0.00000,0.04693,0.00004,3216.5600,37.3121,4.7845,0.97,3109,61600,0.852,0.088,0.153,0.017
48211,Hemphill,TX,C,AMA,pa,35.8376,-100.2705,0.00000,0.11480,0.03071,0.00000,1022,0,0.43264,0.00000,0.05794,0.01074,2362.2572,72.5449,8.3282,1.35,3189,73200,1.013,0.244,0.101,0.035
48003,Andrews,TX,C,MAF,ww,32.305,-102.6378,0.00000,0.06676,0.02818,0.00000,1710,0,0.43985,0.00000,0.05109,0.00000,3887.6910,109.5551,7.3137,4.80,18664,69000,0.955,0.199,0.114,0.030
48495,Winkler,TX,C,MAF,ww,31.85,-103.0482,0.00000,0.00576,0.00093,0.00000,524,0,0.24052,0.00000,0.04807,0.00000,2178.6450,2.0261,0.0117,3.40,7414,69800,0.965,0.100,0.135,0.034
48301,Loving,TX,C,MAF,ww,31.8492,-103.58,0.00000,0.00000,0.00000,0.00000,274,0,0.15635,0.00000,0.06529,0.00000,1753.0524,0.0000,0.0000,0.02,43,94700,1.310,0.000,0.047,0.003
48443,Terrell,TX,C,MAF,sw,30.225,-102.0765,0.00000,0.00000,0.00000,0.00000,5558,0,0.91015,0.00000,0.00533,0.00137,6106.7530,0.0000,0.0000,0.11,687,48000,0.664,0.323,0.186,0.035
51760,City of Richmond,VA,E,AKQ,cc,37.5293,-77.4754,0.00000,1.00000,0.00071,0.00000,82841,0,511.79947,0.00000,0.88061,0.05910,161.8626,0.1149,0.1149,1416.31,229247,58700,0.684,0.441,0.176,0.035
51710,City of Norfolk,VA,E,AKQ,se,36.8915,-76.2827,0.00000,1.00000,0.00010,0.00000,1638,0,44.18099,0.00000,0.14931,0.00227,143.8806,0.0144,0.0144,1605.01,230930,60000,0.699,0.327,0.183,0.034
