FIPS,COUNTYNAME,STATE,TIME_ZONE,CWA,FE_AREA,LATITUDE,LONGITUDE,PERCENTAGE_GBIF_OBS_ON_AG_LAND,PERCENTAGE_OF_AG_LAND_WITHIN_1KM_GBIF_OBS,PERCENT_AGRICULTURE,GEOMEAN_SCORE,TOTAL_GBIF_OBS_COUNT_2023,GBIF_AG_OBS_COUNT_2023,GBIF_OBS_DENSITY_KM2,OBSERVATIONAL_DISPARITY,PERCENT_DEVELOPED,PERCENT_FOREST,AREA_KM2,AG_AREA_KM2,COVERED_AG_AREA_KM2,POPULATION_DENSITY_2023_KM2,POPULATION_ESTIMATE_2023,MEDIAN_HOUSEHOLD_INCOME_2022,MEDIAN_HOUSEHOLD_INCOME_PERCENT_OF_STATE_TOTAL_2022,PERCENT_ADULTS_BACHELORS_DEGREE_2023,PERCENT_POVERTY_2023,UNEMPLOYMENT_RATE_2023,RANK
31015,Boyd,NE,C,LBF,nc,42.8997,-98.7665,0.00000,0.13085,0.25463,0.00000,842,0,0.59693,0.00000,0.02886,0.04044,1410.4194,359.1351,46.9918,1.22,1725,54400,0.780,0.196,0.126,0.024,Bottom
31175,Valley,NE,C,GID,cc,41.5673,-98.9819,0.00000,0.06920,0.34639,0.00000,569,0,0.38503,0.00000,0.04031,0.00718,1477.7939,511.8930,35.4247,2.71,4012,55100,0.788,0.276,0.119,0.022,Bottom
30021,Dawson,MT,M,GGW,ne,47.2664,-104.8994,0.00072,0.04281,0.25254,0.01982,2768,2,0.44853,350.75000,0.02329,0.00958,6172.2929,1558.7508,66.7373,1.43,8810,60800,0.895,0.255,0.127,0.026,Bottom
8121,Washington,CO,M,BOU,ne,39.971,-103.2013,0.00094,0.05452,0.49838,0.02945,12812,12,1.95982,530.19149,0.02806,0.00001,6537.3314,3258.0752,177.6265,0.74,4855,61500,0.690,0.249,0.142,0.023,Bottom
38087,Slope,ND,M,BIS,sw,46.4472,-103.4599,0.00072,0.13512,0.33347,0.03189,5524,4,1.74937,463.15278,0.02493,0.01316,3157.6696,1052.9881,142.2746,0.21,674,69200,0.946,0.228,0.143,0.024,Bottom
31083,Harlan,NE,C,GID,sc,40.1765,-99.4046,0.00060,0.12729,0.53692,0.03448,4969,3,3.34117,894.86667,0.04678,0.00330,1487.1564,798.4840,101.6387,2.05,3045,62100,0.889,0.242,0.101,0.019,Bottom
46069,Hyde,SD,C,ABR,cc,44.5474,-99.4871,0.00243,0.03669,0.46412,0.03459,411,1,0.18312,190.99588,0.02455,0.00068,2244.3778,1041.6606,38.2185,0.53,1186,64400,0.912,0.211,0.112,0.018,Bottom
20067,Grant,KS,C,DDC,sw,37.5622,-101.308,0.00160,0.03826,0.71157,0.03518,626,1,0.42014,444.73125,0.04821,0.00000,1489.2569,1059.7105,40.5432,4.80,7147,66000,0.959,0.256,0.112,0.027,Bottom
30099,Teton,MT,M,TFX,nc,47.8373,-112.2408,0.00173,0.08183,0.33178,0.03608,12719,22,2.14230,191.78035,0.02530,0.10065,5937.1866,1969.8398,161.1875,1.08,6430,57100,0.840,0.259,0.133,0.029,Bottom
20083,Hodgeman,KS,C,DDC,sw,38.0875,-99.8979,0.00213,0.06532,0.46834,0.04024,1411,3,0.63342,219.87793,0.03617,0.00013,2228.1541,1043.5337,68.1643,0.74,1655,67500,0.980,0.284,0.104,0.022,Bottom
31029,Chase,NE,M,LBF,sw,40.5242,-101.6979,0.00454,0.03022,0.47704,0.04030,881,4,0.37895,105.07489,0.03110,0.00002,2324.8641,1109.0532,33.5196,1.60,3724,65000,0.931,0.241,0.098,0.017,Bottom
38025,Dunn,ND,CM,BIS,sw,47.3568,-102.6183,0.00470,0.05672,0.25197,0.04065,3194,15,0.59224,53.61064,0.03906,0.08687,5392.9268,1358.8558,77.0781,0.75,4019,82500,1.126,0.206,0.112,0.011,Bottom
20145,Pawnee,KS,C,DDC,sc,38.1814,-99.2368,0.00123,0.07789,0.73831,0.04136,816,1,0.41738,600.25203,0.05379,0.00145,1954.2740,1442.8600,112.3832,3.13,6126,47900,0.697,0.188,0.128,0.026,Bottom
48501,Yoakum,TX,C,LUB,nw,33.1729,-102.8278,0.00275,0.07352,0.45196,0.04504,1090,3,0.52639,164.34909,0.05535,0.00003,2071.3692,936.1760,68.8289,3.61,7468,62700,0.868,0.142,0.130,0.034,Bottom
48205,Hartley,TX,C,AMA,pa,35.84,-102.6029,0.00418,0.06541,0.35590,0.04600,2391,10,0.63094,85.14354,0.02754,0.00000,3789.5819,1348.7122,88.2206,1.36,5145,84200,1.164,0.231,0.085,0.021,Bottom
31073,Gosper,NE,C,GID,sc,40.5148,-99.8307,0.00214,0.09733,0.47585,0.04628,1403,3,1.17071,222.35981,0.04065,0.00007,1198.6050,570.3562,55.5102,1.54,1847,67700,0.969,0.288,0.089,0.022,Bottom
8009,Baca,CO,M,PUB,se,37.3192,-102.5605,0.00356,0.10451,0.30715,0.04853,16595,59,2.50569,86.27809,0.02214,0.00210,6623.0543,2034.2711,212.6049,0.50,3344,47100,0.529,0.241,0.202,0.020,Bottom
46053,Gregory,SD,C,FSD,sc,43.1924,-99.1856,0.00646,0.07448,0.25385,0.04962,1083,7,0.39693,39.29567,0.02803,0.06928,2728.7501,692.6932,51.5926,1.47,4018,49200,0.697,0.209,0.145,0.019,Bottom
